BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB1BC0001SB;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais B1-Noturno (São Bernardo do Campo);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SB;N;0;segunda das 19:00 às 22:00, sala A1-L301-SB, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB2BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais B2-diurno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;D;0;segunda das 08:00 às 11:00, sala L602, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB2BC0001SB;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais B2-diurno (São Bernardo do Campo);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SB;D;0;segunda das 08:00 às 11:00, sala A1-L302-SB, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB2BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais B2-Noturno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;N;0;segunda das 19:00 às 22:00, sala L602, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB2BC0001SB;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais B2-Noturno (São Bernardo do Campo);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SB;N;0;segunda das 19:00 às 22:00, sala A1-L302-SB, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB3BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais B3-diurno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;D;0;segunda das 08:00 às 11:00, sala L605, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB3BC0001SB;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais B3-diurno (São Bernardo do Campo);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SB;D;0;segunda das 08:00 às 11:00, sala A1-L305-SB, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB3BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais B3-Noturno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;N;0;segunda das 19:00 às 22:00, sala L605, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB3BC0001SB;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais B3-Noturno (São Bernardo do Campo);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SB;N;0;segunda das 19:00 às 22:00, sala A1-L305-SB, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB4BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais B4-diurno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;D;0;segunda das 08:00 às 11:00, sala L606, semanal ;;;;;;;;;
